Date,Commodity,Market,Volume,Price,Region
2024-01-01,Cabbage,Metro Manila,1250.5,28.50,NCR
2024-01-02,Cabbage,Metro Manila,1180.2,29.00,NCR
2024-01-03,Cabbage,Metro Manila,1320.8,27.80,NCR
2024-01-04,Cabbage,Metro Manila,1290.4,28.20,NCR
2024-01-05,Cabbage,Metro Manila,1350.6,28.90,NCR
2024-01-08,Cabbage,Metro Manila,1280.3,29.50,NCR
2024-01-09,Cabbage,Metro Manila,1310.7,28.70,NCR
2024-01-10,Cabbage,Metro Manila,1260.9,29.20,NCR
2024-01-11,Cabbage,Metro Manila,1340.2,28.40,NCR
2024-01-12,Cabbage,Metro Manila,1295.5,28.80,NCR
2024-01-15,Cabbage,Metro Manila,1380.4,29.10,NCR
2024-01-16,Cabbage,Metro Manila,1270.8,28.60,NCR
2024-01-17,Cabbage,Metro Manila,1330.6,29.30,NCR
2024-01-18,Cabbage,Metro Manila,1305.2,28.50,NCR
2024-01-19,Cabbage,Metro Manila,1360.9,29.00,NCR
2024-01-22,Cabbage,Metro Manila,1290.7,28.90,NCR
2024-01-23,Cabbage,Metro Manila,1320.5,29.20,NCR
2024-01-24,Cabbage,Metro Manila,1275.3,28.70,NCR
2024-01-25,Cabbage,Metro Manila,1345.8,29.40,NCR
2024-01-26,Cabbage,Metro Manila,1310.4,28.80,NCR
2024-01-01,Tomato,Metro Manila,980.3,45.50,NCR
2024-01-02,Tomato,Metro Manila,1020.7,46.20,NCR
2024-01-03,Tomato,Metro Manila,950.5,44.80,NCR
2024-01-04,Tomato,Metro Manila,1010.2,45.90,NCR
2024-01-05,Tomato,Metro Manila,990.8,45.30,NCR
2024-01-08,Tomato,Metro Manila,1040.6,46.50,NCR
2024-01-09,Tomato,Metro Manila,970.4,45.10,NCR
2024-01-10,Tomato,Metro Manila,1015.9,46.00,NCR
2024-01-11,Tomato,Metro Manila,995.3,45.70,NCR
2024-01-12,Tomato,Metro Manila,1030.7,46.30,NCR
2024-01-15,Tomato,Metro Manila,960.5,44.90,NCR
